City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
170,paidha,92,UG,1528144927,96,2.42,30.99,66.25,3.38
171,lebowakgomo,0,ZA,1528142400,76,-24.3,29.54,51.8,6.96
172,vetlanda,0,SE,1528143600,39,57.43,15.09,64.4,11.41
173,tabou,80,CI,1528144928,100,4.42,-7.36,81.19,9.42
174,ust-maya,32,RU,1528144928,78,60.42,134.54,55.81,2.71
175,talnakh,20,RU,1528144928,83,69.49,88.39,36.55,15.68
176,san patricio,80,PY,1528144929,76,-26.98,-56.83,54.05,2.37
177,vaitape,92,PF,1528144929,100,-16.52,-151.75,79.84,13.89
178,pacific grove,1,US,1528142100,63,36.62,-121.92,80.6,12.75
179,guilin,90,CN,1528142400,94,25.28,110.29,69.8,2.24
180,tessalit,68,ML,1528144930,13,20.2,1.01,89.56,5.17
181,kalety,0,PL,1528144200,77,50.56,18.89,60.8,1.12
182,koslan,92,RU,1528144931,98,63.46,48.9,43.25,6.4
183,samoded,100,RU,1528144931,99,63.61,40.52,43.75,5.17
184,westport,32,IE,1528144932,80,53.8,-9.52,59.18,7.74
185,gua musang,80,MY,1528144932,93,4.88,101.97,73.36,1.7
186,diego de almagro,0,CL,1528144933,72,-26.39,-70.05,65.44,1.92
187,alabaster,1,US,1528141980,37,33.24,-86.82,84.2,8.05
188,crotone,0,IT,1528144933,95,39.09,17.12,75.38,13.22
189,atar,36,MR,1528144933,25,20.52,-13.05,89.74,2.26
190,maceio,40,BR,1528142400,69,-9.67,-35.74,78.8,6.93
191,yucca valley,1,US,1528142160,5,34.12,-116.41,104.0,3.36
192,belmonte,0,PT,1528144934,88,40.36,-7.35,50.5,4.27
193,brigantine,75,US,1528142160,53,39.41,-74.36,75.2,16.11
194,margate,75,AU,1528142400,87,-43.03,147.26,44.6,4.7
195,bilma,0,NE,1528144935,17,18.69,12.92,85.96,8.75
196,husavik,0,CA,1528144935,66,50.56,-96.99,61.93,7.4
197,mitha tiwana,0,PK,1528144936,51,32.24,72.11,84.7,4.5
198,grand gaube,75,MU,1528142400,73,-20.01,57.66,73.4,13.87
199,mezen,76,RU,1528144936,61,65.85,44.24,44.11,6.4
200,owando,0,CG,1528144936,87,-0.49,15.91,74.8,2.71
201,mar del plata,44,AR,1528144937,71,-46.43,-67.52,44.56,11.99
202,coihaique,40,CL,1528142400,75,-45.58,-72.07,48.2,4.7
203,ahipara,88,NZ,1528144938,97,-35.17,173.16,59.41,20.71
204,ayan,0,TR,1528144938,65,40.67,33.6,46.45,2.26
205,sao joao da barra,90,BR,1528142400,83,-21.64,-41.05,69.8,23.04
206,itoman,20,JP,1528142400,88,26.12,127.67,78.8,3.36
207,mount gambier,92,AU,1528144939,95,-37.83,140.78,40.37,2.04
208,upata,88,VE,1528144940,96,8.02,-62.41,76.24,4.27
209,namwala,0,ZM,1528144940,56,-15.75,26.45,57.16,9.08
210,yantzaza,88,EC,1528144940,90,-3.83,-78.76,66.16,2.71
211,rairangpur,44,IN,1528144940,95,22.27,86.18,75.65,2.26
212,sitka,8,US,1528144941,52,37.17,-99.65,79.93,17.13
213,port keats,0,AU,1528144941,67,-14.25,129.55,62.42,14.79
214,vanimo,92,PG,1528144941,100,-2.67,141.3,81.95,6.4
215,dovers,75,VC,1528142400,70,12.88,-61.18,84.2,8.05
216,kaitangata,24,NZ,1528144942,56,-46.28,169.85,26.29,9.08
217,polunochnoye,92,RU,1528144943,88,60.87,60.43,46.13,8.08
218,rio verde de mato grosso,20,BR,1528144943,73,-18.92,-54.84,74.26,3.94
219,longyearbyen,75,NO,1528141800,74,78.22,15.63,35.6,11.41
220,deputatskiy,92,RU,1528144944,100,69.3,139.9,43.84,3.83
221,marsh harbour,0,BS,1528144944,94,26.54,-77.06,83.08,7.63
222,show low,1,US,1528142100,3,34.25,-110.03,91.4,8.05
223,cardston,1,CA,1528142400,28,49.2,-113.32,71.6,25.28
224,zhengjiatun,0,CN,1528144945,44,43.51,123.51,72.95,24.96
225,dunedin,0,NZ,1528144785,85,-45.87,170.5,23.27,2.71
226,toba,40,JP,1528142400,88,34.47,136.83,68.0,4.7
227,entebbe,75,UG,1528142400,88,0.06,32.45,68.0,5.82
228,puerto madero,75,AR,1528142400,71,-34.61,-58.36,53.6,3.36
229,samarai,100,PG,1528144947,100,-10.62,150.67,76.01,11.43
230,zalantun,32,CN,1528144947,94,48.0,122.72,51.08,4.38
231,isangel,92,VU,1528144948,100,-19.55,169.27,75.92,10.87
232,souillac,90,FR,1528144200,88,45.6,-0.6,62.6,6.93
233,yatou,76,CM,1528144948,100,3.63,9.81,80.42,6.4
234,alice springs,0,AU,1528142400,51,-23.7,133.88,35.6,5.82
235,dikson,44,RU,1528144949,88,73.51,80.55,35.38,25.19
236,touros,24,BR,1528144949,84,-5.2,-35.46,78.98,16.24
237,resistencia,90,AR,1528142400,67,-27.45,-58.99,59.0,6.93
238,tekari,44,IN,1528144950,74,24.94,84.84,85.15,10.98
239,saint-georges,92,CA,1528144951,97,46.12,-70.67,44.11,8.75
240,portmore,20,JM,1528142400,66,17.97,-76.87,87.8,26.4
241,tsaratanana,0,MG,1528144951,70,-16.8,47.65,60.85,2.93
242,lashio,92,MM,1528144951,99,22.93,97.75,70.3,0.92
243,gazanjyk,0,TM,1528144952,45,39.24,55.52,69.17,4.94
244,dovolnoye,92,RU,1528144952,63,54.5,79.67,51.53,7.29
245,singaraja,0,ID,1528144952,100,-8.11,115.08,67.91,1.81
246,atbasar,12,KZ,1528144953,50,51.81,68.36,59.5,13.0
247,hit,0,IQ,1528144953,13,33.64,42.83,85.28,13.67
248,tuatapere,56,NZ,1528144953,100,-46.13,167.69,44.11,17.81
249,kavieng,24,PG,1528144866,100,-2.57,150.8,83.57,5.73
250,arnoldstein,75,AT,1528144200,77,46.55,13.71,66.2,4.7
251,sinnamary,92,GF,1528144954,100,5.38,-52.96,77.59,5.95
252,vestmannaeyjar,0,IS,1528144954,91,63.44,-20.27,48.7,4.38
253,yashan,92,CN,1528144955,94,30.81,118.02,65.66,2.59
254,ngunguru,20,NZ,1528144955,100,-35.62,174.5,60.8,22.84
255,oranjemund,0,ZA,1528144955,84,-28.55,16.43,63.41,11.77
256,xinyu,100,CN,1528144956,100,27.8,114.93,70.07,5.17
257,plainview,1,US,1528143300,44,34.18,-101.71,80.6,12.75
258,hammerfest,75,NO,1528143600,93,70.66,23.68,39.2,9.17
259,shimoda,0,JP,1528144957,100,34.7,138.93,68.63,9.75
260,aljezur,92,PT,1528144957,99,37.31,-8.8,60.98,13.44
261,beisfjord,75,NO,1528141800,93,68.38,17.6,37.4,2.24
262,olesno,0,PL,1528144200,77,50.88,18.42,60.8,1.12
263,alofi,64,NU,1528144958,92,-19.06,-169.92,81.73,10.98
264,bereda,40,ES,1528144200,93,43.27,-7.54,55.4,3.36
265,puri,0,ID,1528144959,90,-7.54,112.45,67.01,2.04
266,broken hill,88,AU,1528144959,90,-31.97,141.45,46.67,7.4
267,nenjiang,44,CN,1528144960,48,49.17,125.23,65.57,10.98
268,hwange,0,ZW,1528144960,45,-18.35,26.5,63.19,15.12
269,namatanai,48,PG,1528144960,100,-3.66,152.44,82.18,7.85
270,cordoba,80,CO,1528144882,44,5.59,-73.79,66.16,2.59
271,sonqor,0,IR,1528142400,42,34.78,47.6,68.0,4.7
272,ihosy,8,MG,1528144961,95,-22.4,46.13,48.65,2.37
273,pierre,1,US,1528141980,35,44.37,-100.35,87.8,6.93
274,keti bandar,64,PK,1528144962,97,24.14,67.45,85.1,20.94
275,richards bay,100,ZA,1528144962,99,-28.77,32.06,59.63,10.76
276,carnarvon,0,ZA,1528144963,68,-30.97,22.13,30.7,5.84
277,beringovskiy,88,RU,1528144963,95,63.05,179.32,34.21,5.84
278,morehead,1,US,1528141980,41,38.18,-83.43,77.0,7.18
279,neijiang,92,CN,1528144964,80,29.59,105.06,69.08,2.82
280,lavrentiya,88,RU,1528144964,90,65.58,-170.99,34.3,7.29
281,karaton,20,ID,1528144200,88,-6.34,106.1,80.6,4.7
282,barra do garcas,0,BR,1528144965,51,-15.89,-52.26,79.7,2.15
283,cavalcante,12,BR,1528144965,54,-13.79,-47.46,77.72,10.2
284,koutiala,48,ML,1528144965,53,12.39,-5.46,85.69,6.51
285,urucara,12,BR,1528144755,66,-2.54,-57.76,86.0,2.37
286,leningradskiy,36,RU,1528144966,100,69.38,178.42,28.54,6.17
287,eenhana,0,NA,1528144966,26,-17.48,16.34,64.63,11.77
288,wanaka,12,NZ,1528144967,82,-44.7,169.14,9.5,1.81
289,ilulissat,75,GL,1528141800,69,69.22,-51.1,35.6,4.7
290,qaanaaq,20,GL,1528144967,100,77.48,-69.36,28.31,2.15
291,yumen,92,CN,1528144968,41,40.29,97.04,53.2,3.71
292,sturgis,1,US,1528144500,51,44.41,-103.51,86.0,9.17
293,gazli,0,UZ,1528144969,20,40.13,63.45,62.87,8.41
294,kruisfontein,0,ZA,1528144969,94,-34.0,24.73,57.47,13.78
295,manokwari,48,ID,1528144969,100,-0.87,134.08,81.55,4.16
296,charleston,20,US,1528142040,47,38.35,-81.63,75.2,9.17
297,petauke,0,ZM,1528144970,52,-14.25,31.33,61.03,10.87
298,nongan,40,CN,1528142400,45,44.43,125.17,68.0,13.42
299,xichang,100,CN,1528144970,100,27.88,102.25,51.53,1.7
300,vrangel,88,RU,1528144971,94,42.73,133.08,52.03,3.49
301,new iberia,40,US,1528143300,62,30.0,-91.82,91.4,5.82
302,siderno,0,IT,1528142100,88,38.28,16.3,75.2,3.36
303,lazaro cardenas,75,MX,1528141200,19,28.39,-105.62,96.8,8.05
304,petropavlovsk-kamchatskiy,0,RU,1528142400,59,53.05,158.65,51.8,15.66
305,buta,80,CD,1528144972,94,2.79,24.73,71.06,2.15
306,ancud,68,CL,1528144973,77,-41.87,-73.83,49.15,5.17
307,provideniya,20,RU,1528142400,86,64.42,-173.23,37.4,8.95
308,nuuk,75,GL,1528141800,87,64.17,-51.74,42.8,5.82
309,lata,8,IN,1528144973,78,30.78,78.62,54.32,2.59
310,north branch,1,US,1528143360,36,45.51,-92.98,84.2,10.29
311,rio gallegos,0,AR,1528142400,92,-51.62,-69.22,39.2,2.24
312,yanliang,0,CN,1528142400,76,34.66,109.22,55.4,3.38
313,terrace bay,90,CA,1528142400,87,48.78,-87.1,46.4,9.17
314,gasa,8,BT,1528144975,75,27.91,89.73,21.25,1.59
315,kroya,8,ID,1528144976,92,-6.5,108.06,73.67,2.37
316,ninghai,90,CN,1528142400,100,29.29,121.42,71.6,2.59
317,lethem,100,GY,1528144976,85,3.38,-59.8,77.27,9.64
318,makakilo city,90,US,1528142220,65,21.35,-158.09,82.4,9.17
319,port hedland,0,AU,1528144200,77,-20.31,118.58,62.6,6.93
320,praia,40,BR,1528142400,68,-20.25,-43.81,68.0,10.29
321,roma,0,IT,1528143600,77,41.89,12.48,68.0,4.7
322,lar,0,IR,1528142400,21,27.66,54.32,91.4,1.81
323,juba,0,EE,1528141800,43,57.82,26.93,53.6,10.29
324,arica,90,CL,1528142400,77,-18.48,-70.32,64.4,9.17
325,klaksvik,56,FO,1528143600,81,62.23,-6.59,46.4,5.82
326,ormara,68,PK,1528144979,91,25.21,64.64,83.3,14.56
327,ostrovnoy,88,RU,1528144979,91,68.05,39.51,30.88,16.02
328,mount isa,0,AU,1528142400,60,-20.73,139.49,41.0,4.7
329,amstelveen,90,NL,1528143900,87,52.3,4.85,60.8,8.05
330,eureka,1,US,1528142100,76,40.8,-124.16,59.0,8.05
331,maniitsoq,92,GL,1528144981,89,65.42,-52.9,35.74,2.71
332,oum hadjer,0,TD,1528144981,23,13.3,19.7,83.89,8.75
333,long beach,75,US,1528142160,58,30.35,-89.15,91.4,6.93
334,puteyets,24,RU,1528144982,73,65.17,57.09,34.39,6.06
335,monduli,80,TZ,1528144982,75,-3.3,36.45,65.12,4.72
336,kurilsk,8,RU,1528144982,91,45.23,147.88,48.83,4.38
337,lishui,100,CN,1528144983,99,28.45,119.91,67.28,1.25
338,camrose,75,CA,1528142400,39,53.01,-112.84,66.2,16.11
339,herat,0,AF,1528144983,64,34.35,62.22,60.26,3.94
340,celestun,8,MX,1528144984,97,20.87,-90.4,83.89,12.77
341,parkes,12,AU,1528144984,91,-33.14,148.18,37.13,2.59
342,kurmanayevka,44,RU,1528144984,39,52.51,52.07,67.24,11.99
343,abu dhabi,0,AE,1528142400,55,24.47,54.37,93.2,4.7
344,roald,40,NO,1528143600,70,62.58,6.12,48.2,16.11
345,norman wells,40,CA,1528142400,42,65.28,-126.83,68.0,19.46
346,ulagan,0,RU,1528144985,94,50.63,87.96,27.5,1.59
347,bambous virieux,75,MU,1528142400,73,-20.34,57.76,73.4,13.87
348,hami,80,CN,1528144986,37,42.84,93.51,66.43,4.38
349,bayan,20,MN,1528144986,47,47.25,107.54,43.52,9.75
350,belogorsk,44,UA,1528144987,88,45.06,34.59,60.13,1.81
351,nizwa,0,OM,1528144987,56,22.93,57.53,77.59,3.27
352,nabire,0,ID,1528144987,96,-3.36,135.5,66.61,2.37
353,dutlwe,0,BW,1528144988,52,-23.98,23.93,46.31,5.28
354,beloha,0,MG,1528144988,90,-25.17,45.06,63.64,7.29
355,chambersburg,75,US,1528142100,49,39.94,-77.66,78.8,13.87
356,matara,88,PE,1528144989,73,-13.74,-72.9,48.2,2.48
357,bantou,92,CN,1528144989,99,26.22,117.49,71.15,2.04
358,khabary,76,RU,1528144989,69,53.63,79.53,50.14,4.05
359,almaznyy,0,RU,1528144990,36,48.03,40.04,66.61,10.87
360,auki,20,NG,1528144991,77,12.18,6.51,78.17,5.73
361,waddan,100,LY,1528144874,67,29.16,16.14,72.32,2.48
362,mandera,48,ET,1528144991,48,3.94,41.86,85.33,12.66
363,aklavik,75,CA,1528142400,42,68.22,-135.01,68.0,5.82
